dataset,generation_engine,pruning_method,optimisation_engine,lookup_id,energy,status,xyz_file,log_file
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,GRKDVZMVHOLESV-UHFFFAOYSA-N_conf237,-12.6019,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/GRKDVZMVHOLESV-UHFFFAOYSA-N_conf237_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/GRKDVZMVHOLESV-UHFFFAOYSA-N_conf237_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,GRKDVZMVHOLESV-UHFFFAOYSA-N_conf62,-10.0505,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/GRKDVZMVHOLESV-UHFFFAOYSA-N_conf62_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/GRKDVZMVHOLESV-UHFFFAOYSA-N_conf62_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,GRKDVZMVHOLESV-UHFFFAOYSA-N_conf130,-11.1416,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/GRKDVZMVHOLESV-UHFFFAOYSA-N_conf130_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/GRKDVZMVHOLESV-UHFFFAOYSA-N_conf130_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf171,-11.637,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf171_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf171_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf55,-10.5161,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf55_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf55_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf226,-13.2913,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf226_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/GWZMWHWAWHPNHN-YFKPBYRVSA-N_conf226_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf149,-20.6269,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf149_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf149_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf132,-24.2186,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf132_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf132_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf191,-19.8721,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf191_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/IWBDNDKRBBFYKG-JLHYYAGUSA-N_conf191_xtb.log
acrylates,rdkit,topN_3,gxtb_GFN2-xTB,JIGUQPWFLRLWPJ-UHFFFAOYSA-N_conf168,-8.9864,converged,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/xyz/JIGUQPWFLRLWPJ-UHFFFAOYSA-N_conf168_opt.xyz,pipeline_data/5_conformer_xyz_optimised/acrylates/rdkit/topN_3/gxtb_GFN2-xTB/log/JIGUQPWFLRLWPJ-UHFFFAOYSA-N_conf168_xtb.log
