# master_csv: /home/lunet/cglh4/openCOSMO-RS_Pipeline-LH/pipeline_data/3_conformer_xyz/acrylates/rdkit/_master_acrylates_rdkit_100.csv
# previous_lookup: None
# method: topN
# params: {'top_n': 20}
# energy_source: energy_gen# total_input: 2700
# usable_energy: 2700
# total_pruned: 540

lookup_id,energy_active,energy_rank
PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf42,115.50401730882952,14.0
PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf79,116.53365340854464,15.0
PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf90,116.7428366397307,16.0
PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf91,117.28315601938196,17.0
PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf78,119.037174016422,18.0
PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf35,119.03865041792538,19.0
PUUAYUBAIZMECZ-JLHYYAGUSA-N_conf52,119.50178723369018,20.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf14,30.81632160882304,1.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf42,30.889264547691926,2.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf9,30.999339343389057,3.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf84,31.06116158723213,4.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf33,31.2441726161925,5.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf30,31.2783786533452,6.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf50,31.377263492753976,7.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf95,31.48403131734669,8.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf49,31.5383796491924,9.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf53,31.681231586433547,10.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf22,31.690821696350632,11.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf83,31.742855713115564,12.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf55,31.74372564282688,13.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf99,31.832039463170847,14.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf24,31.906103597910477,15.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf39,31.99796899381382,16.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf1,32.11531054417214,17.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf54,32.122994701267565,18.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf89,32.19108344788739,19.0
QIWKUEJZZCOPFV-UHFFFAOYSA-N_conf43,32.23703862446671,20.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf19,12.11627327101224,1.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf83,12.467055501774414,2.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf66,12.6378289956723,3.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf94,12.91933106763662,4.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf0,13.003678686056793,5.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf25,13.074237134744768,6.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf33,13.098366445400314,7.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf98,13.111848329662545,8.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf93,13.38674167799694,9.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf34,13.601579478904164,10.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf73,13.647014804112931,11.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf5,13.838438037369489,12.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf22,14.04126094101922,13.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf58,14.537232810637878,14.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf14,14.564161584693174,15.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf75,14.823282651800143,16.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf99,14.98077081596351,17.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf29,15.58851872282258,18.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf71,15.61667973280401,19.0
QTKPMCIBUROOGY-UHFFFAOYSA-N_conf15,15.860761011705716,20.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf41,90.25010557202546,1.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf85,94.47816859631132,2.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf74,103.67750011145466,3.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf6,106.70571864835178,4.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf8,107.19915352494242,5.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf86,110.82422719663248,6.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf35,114.31123244444184,7.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf56,114.97687459264216,8.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf71,115.03031082115125,9.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf78,115.11979595063086,10.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf13,115.18812098862904,11.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf58,115.3383921285297,12.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf75,115.5750381748385,13.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf69,115.92177862673664,14.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf14,117.84321700776653,15.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf0,117.8995295319207,16.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf95,118.05261752109578,17.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf73,119.68132398115397,18.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf26,119.99452352636186,19.0
QXLXSQHHHGJQDK-MDWZMJQESA-N_conf33,120.57011617702886,20.0
RBFPEAGEJJSYCX-UHFFFAOYSA-N_conf79,58.965322806420126,1.0
RBFPEAGEJJSYCX-UHFFFAOYSA-N_conf45,62.93932579156747,2.0
RBFPEAGEJJSYCX-UHFFFAOYSA-N_conf12,63.67990169130098,3.0
RBFPEAGEJJSYCX-UHFFFAOYSA-N_conf32,64.81043460017261,4.0
RBFPEAGEJJSYCX-UHFFFAOYSA-N_conf93,65.0624742936979,5.0
RBFPEAGEJJSYCX-UHFFFAOYSA-N_conf92,65.9460466104484,6.0
RBFPEAGEJJSYCX-UHFFFAOYSA-N_conf55,66.3327883223087,7.0
RBFPEAGEJJSYCX-UHFFFAOYSA-N_conf77,67.26965826328744,8.0
